frame,left,top,right,bottom
24,408,64,453,205
25,408,69,454,204
26,408,69,454,204
27,409,71,454,211
28,408,73,457,224
29,408,73,456,225
30,408,76,457,222
31,411,79,459,246
32,412,80,460,249
33,413,80,461,261
34,413,78,458.5681457519531,219.73403930664062
35,166,284,242,385
36,168,283,244,388
37,413,85,463,281
38,413,84,462,273
39,518,161,571,314
40,442,95,511,322
41,413,87,461,248
42,413,84,461,243
43,413,86,460,241
44,412,85,460,246
45,413,91,460,256
46,411,95,461,270
47,410,97,459,240
48,409,97,459,237
49,409,97,459,241
50,409,97,460,239
51,408,99,460,255
52,409,99,460,244
53,408,103,460,255
54,408,103,461,254
55,447,114,521,356
56,408,107,461,258
57,408,112,463,280
58,409,112,466,304
59,408,113,462,291
60,462,124,523,347
61,412,115,461,257
62,411,115,462,262
63,409,118,465,280
64,410,117,465,280
65,411,118,468,329
66,411,118,468,327
67,411,117,469,329
68,409,122,465,307
69,411,117,470,313
70,410,121,467,297
71,411,125,470,331
72,436,143,529,418
73,439,151,532,421
74,412,126,469,313
75,408,129,468,320
76,451,148,535,383
77,453,148,537,384
78,406,139,465,328
79,407,138,465,299
80,471,155,540,370
81,472,153,539,382
82,475,157,540,405
83,479,161,539,388
84,409,146,465,283
85,409,153,466,319
86,409,151,468,345
87,410,152,469,374
88,464,170,540,433
89,410,165,468,318
90,410,166,467,319
91,409,168,473,322
92,473,175,543,423
93,410,164,485,425
94,477,178,536,402
95,409,167,491,443
96,412,172,474,351
97,412,173,473,335
98,411,174,474,335
99,470,193,541,436
