frame,left,top,right,bottom
25,483,291,565,437
26,480,287,558,440
27,474,278,558,438
28,475,285,551,435
29,471,279,552,446
30,472,287,557,448
31,470,277,555,449
32,472,271,545,434
33,452.5685119628906,260.8199157714844,522.7338333129883,401.1505584716797
34,450.20245361328125,259.8047180175781,520.3677749633789,400.13536071777344
35,445.76373291015625,254.04763793945312,518.7637252807617,400.04762268066406
36,440.5807189941406,251.01416015625,513.5807113647461,397.01414489746094
37,438.23175048828125,247.93655395507812,514.1809387207031,399.8349304199219
38,459,252,503,413
39,433.0482177734375,246.23983764648438,508.9974060058594,398.1382141113281
40,433,237,495,417
41,439,233,496,411
42,422,240,494,407
43,418,231,491,409
44,421,234,482,398
45,419,233,476,391
46,359,192,463,373
47,362,192,466,375
48,390.4456787109375,217.22000122070312,467.9138488769531,372.1563415527344
49,407,230,460,376
50,353,201,460,368
51,388,214,459,370
52,375,218,455,378
53,379,219,453,373
54,380,219,452,376
55,378,218,448,381
56,360,216,452,379
57,334,216,450,375
58,347.9749755859375,196.15023803710938,428.5728454589844,357.3459777832031
59,310,179,425.48191833496094,360.49879455566406
