frame,left,top,right,bottom
30,465,20,503,137
31,466,21,503,138
32,465,21,504,140
33,465,21,505,142
34,468,22,505,141
35,468,22,507,143
36,177,85,219,212
37,176,79,220,217
38,176,79,220,216
39,470,26,508,144
40,471,28,507.6426887512207,142.3508644104004
41,473,27,508.5224609375,145.32525634765625
42,473,29,509.4003601074219,144.67682647705078
43,176,79,220,219
44,473,31,510.1568908691406,142.3346061706543
45,474,33,511.4852600097656,142.29169082641602
46,474,33,511.6416931152344,142.58789443969727
47,473,29,523,155
48,176,79,220,217
49,473,32,513.2671394348145,146.36503982543945
50,473,33,513.1337585449219,144.48651504516602
51,175,79,220,216
52,474,30,532,159
53,473,36,533,159
54,474,37,533,158
55,176,78,221,218
56,477,36,517.2496337890625,150.0379981994629
57,478,36,537,160
58,174,69,222,222
59,174,69,222,222
60,175,73,222,220
61,175,73,222,221
62,480,40,522.380672454834,157.12225341796875
63,175,76,221,218
64,174,74,222,220
65,482,41,522.8863792419434,158.1671905517578
66,484,41,523.3121299743652,158.46097564697266
67,486,43,523.6992645263672,159.86974334716797
68,486,43,523.8696746826172,159.8400650024414
69,174,80,221,218
70,174,81,221,218
71,175,77,221,217
72,174,82,221,218
73,174,67,222,220
74,175,78,221,216
75,175,78,221,219
76,175,81,221,216
77,175,81,221,217
78,176,81,221,217
79,175,81,221,217
80,175,81,221,217
81,175,81,221,217
82,174,81,221,218
83,174,80,220,215
84,513,66,570,209
85,172,76,222,218
86,484,44,532,183
87,483,43,532,189
88,174,69,222,221
89,172,73,223,218
90,173,77,222,219
91,172,74,223,219
92,173,74,222,221
93,173,78,222,218
94,173,80,222,219
95,173,80,222,219
96,174,81,221,221
97,174,81,220,215
98,174,82,220,215
99,480,46,522,169
