frame,left,top,right,bottom
24,331,83,402,255
25,334,87,404,255
26,335,93,412,254
27,342,92,415,263
28,346,94,419,261
29,345,93,422,261
30,362,95,426.9021987915039,263.4776306152344
31,367,96,433.2245407104492,266.2416000366211
32,367,97,435.5081100463867,268.2084274291992
33,370,100,440.0786437988281,267.30086517333984
34,374,101,446.00475311279297,271.10530853271484
35,376,104,447.68367767333984,273.7583236694336
36,376,107,451.21874237060547,275.0833969116211
37,377,109,456.93192291259766,277.2866668701172
38,379,109,456.2198257446289,277.4189453125
39,382,113,455.90636444091797,274.51031494140625
40,380,114,449.41947174072266,273.33558654785156
41,389,116,451.8956985473633,278.1908416748047
42,390,116,457.0471649169922,281.46429443359375
43,392,118,459.0986099243164,283.0304412841797
44,382.0777893066406,96.84220886230469,460.4675064086914,286.7440643310547
45,420,121,494.38966369628906,299.17222595214844
46,430,122,500.02720642089844,299.7474670410156
47,428,122,503.30924224853516,304.3992462158203
48,437,126,510.5722198486328,302.9853820800781
49,438,126,513.4951248168945,300.3605041503906
50,438,127,514.0593109130859,304.3679504394531
51,444,129,515.7808609008789,302.7694549560547
52,447,132,520.5234146118164,306.78460693359375
53,448,135,521.2034530639648,307.2116241455078
54,445,141,529.6879806518555,312.81272888183594
55,449,146,534.8054122924805,316.37989807128906
56,450,143,543.8451614379883,321.94049072265625
57,449,148,546.5685501098633,322.4141082763672
58,476,149,553.7687759399414,327.70697021484375
59,481,150,557.0390472412109,325.20347595214844
60,480,147,563.3161926269531,329.1894989013672
61,486,156,567.3539733886719,330.06712341308594
62,486,159,571.9752655029297,329.1337432861328
63,491,157,574.7218322753906,332.94960021972656
64,492,161,577.9572448730469,333.31346130371094
65,497,169,592.0095825195312,342.10804748535156
66,497,169,572.7089080810547,330.76646423339844
67,499,169,573.2204437255859,332.45350646972656
68,499,168,573.1933441162109,332.34974670410156
69,501,180,576.2425842285156,337.20933532714844
70,510,176,577.8172302246094,336.0092010498047
71,498,177,580.1242980957031,339.2779998779297
72,511,180,602.5158996582031,354.22401428222656
73,528,181,608.0268249511719,357.00685119628906
74,531,183,616.3094253540039,361.36798095703125
