frame,left,top,right,bottom
28,600,68,681,229
29,599,73,671,226
30,599,76,664,226
31,602,77,660,223
32,601,76,661,229
33,0,215,181,440
34,1,204,175,401
35,0,208,180,446
36,589,79,642,229
37,585,86,637,220
38,561.4547119140625,83.77946472167969,642.4547119140625,244.7794647216797
39,506,311,600,453
40,0,204,166,421
41,487,304,595,455
42,557,89,618,240
43,557,90,618,240
44,551,92,618,244
45,547,93,601,250
46,531,58,598,242
47,515,36,595.3197631835938,251.9407501220703
48,503.1199645996094,85.33330535888672,589.0778045654297,256.18778228759766
49,494.1802673339844,84.0064468383789,580.1381072998047,254.86092376708984
50,454,281,548,422
51,0,208,166,394
52,483,107,570,256
53,480,98,564,235
54,480,95,541,238
55,458.8212890625,80.46147918701172,544.7791290283203,251.31595611572266
56,2,212,158,382
57,443.7340087890625,85.14115905761719,526.35400390625,249.3611602783203
58,470,85,519,242
59,453,91,509,236
60,437,86,509,246
61,427,103,505,236
62,416,79,507,241
63,412,85,504,236
64,410,78,499,233
65,409,76,495,231
66,408,73,489,233
67,406,71,474,225
68,406,70,471,226
69,406.01287841796875,124.28028106689453,490.28527069091797,291.78466033935547
70,401.0545959472656,123.78910064697266,485.32698822021484,291.2934799194336
71,369.65460205078125,75.10488891601562,452.2745895385742,239.32485961914062
72,366,155,474,360
73,364,69,442.6182403564453,235.5055389404297
74,375,206,459,359
75,343.4999084472656,60.32844543457031,427.7722930908203,227.8328094482422
76,354,63,421.22119903564453,229.73104095458984
77,367,195,450,344
78,363,191,445,336
79,350,55,386,171
